Basic block profiling finished on Fri Jul 13 16:38:44 2001

File /usr0/bryant/afs/ics/code/opt/options.d, 83 basic blocks 

    Block # 1: executed 42 time(s) address= 0x80498f4 function= match_length      line=   0 file= <none>
    Block # 2: executed  7 time(s) address= 0x804992f function= match_length      line=  34 file= options.c
    Block # 3: executed 28 time(s) address= 0x8049940 function= match_length      line=  37 file= options.c
    Block # 4: executed 25 time(s) address= 0x804994e function= match_length      line=  34 file= options.c
    Block # 5: executed 42 time(s) address= 0x8049959 function= match_length      line=  39 file= options.c
    Block # 6: executed  0 time(s) address= 0x8049968 function= usage             line=  40 file= options.c
    Block # 7: executed  0 time(s) address= 0x80499c4 function= usage             line=  46 file= options.c
    Block # 8: executed  0 time(s) address= 0x80499d0 function= usage             line=  47 file= options.c
    Block # 9: executed  0 time(s) address= 0x80499e1 function= usage             line=  47 file= options.c
    Block #10: executed  0 time(s) address= 0x80499ec function= usage             line=  47 file= options.c
    Block #11: executed  0 time(s) address= 0x80499f7 function= usage             line=  47 file= options.c
    Block #12: executed  0 time(s) address= 0x8049a00 function= usage             line=  49 file= options.c
    Block #13: executed  0 time(s) address= 0x8049a20 function= usage             line=  52 file= options.c
    Block #14: executed  0 time(s) address= 0x8049a50 function= usage             line=  55 file= options.c
    Block #15: executed  0 time(s) address= 0x8049a6d function= usage             line=  55 file= options.c
    Block #16: executed  0 time(s) address= 0x8049a7c function= usage             line=  46 file= options.c
    Block #17: executed  0 time(s) address= 0x8049a92 function= usage             line=  59 file= options.c
    Block #18: executed  6 time(s) address= 0x8049ab8 function= find_option       line=  61 file= options.c
    Block #19: executed  6 time(s) address= 0x8049b04 function= find_option       line=  70 file= options.c
    Block #20: executed 42 time(s) address= 0x8049b10 function= find_option       line=  71 file= options.c
    Block #21: executed  7 time(s) address= 0x8049b2c function= find_option       line=  73 file= options.c
    Block #22: executed 35 time(s) address= 0x8049b40 function= find_option       line=  76 file= options.c
    Block #23: executed  0 time(s) address= 0x8049b4a function= find_option       line=  76 file= options.c
    Block #24: executed  0 time(s) address= 0x8049b54 function= find_option       line=  77 file= options.c
